path,size_bytes,sha256,reason
projects/pc-qlanalyser/src/Qlass/models/2_LightGBM-1EEG.pkl,349389360,c97484fa0ee96690add145cc0a1c3a199d51e6d6ba82fb338ef68f7148facd4b,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/Qlass/models/1_LightGBM-2EEG.pkl,123195494,e66ff546d32036aa89c88f46e79f43ec1c940f6daa2fe28811dd51343e5baf02,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/qeeg_algorithm-main/EEGnorms/A_AVR_PG_ET_BG_GF.NRM,21384510,c727596242aa1e5c300d3935d9e235cb9ef8d526a1032a93336e16decfc98713,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/qeeg_algorithm-main/EEGnorms/A_AVR_RD_ET_BG_GF.NRM,21384510,c5d3b37a183790607dcbeb35f4c8e397e90b637c1b7c4ab49bd536b141ea022c,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/qeeg_algorithm-main/EEGnorms/B_AVR_PG_ET_BG_GF.NRM,21384510,d56ada0f2a1c7f55ba65e46b88d25e2e65ebf9b05c1e276236d887a472865d48,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/qeeg_algorithm-main/EEGnorms/B_AVR_RD_ET_BG_GF.NRM,21384510,6e614128be5cd72e39e81970be8119edf92ea90cc1138af09d992bb9b49f0628,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/qeeg_algorithm-main/EEGnorms/A_AVR_PG_ET_GM_GF.NRM,19464510,d87cbcdcfc758b35b810109e292e20531e02023166dfe840d56115b4f6ea2398,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/qeeg_algorithm-main/EEGnorms/A_AVR_RD_ET_GM_GF.NRM,19464510,cc033c540b7b8447e3192eecfdaedc0d53150664e40772db9b096cf1921d2d1d,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/qeeg_algorithm-main/EEGnorms/B_AVR_PG_ET_GM_GF.NRM,19464510,ef08b0d6eb3fefca82366f976b9fb054923a9b8cc99c3be775e8d7b51e082c06,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/qeeg_algorithm-main/EEGnorms/B_AVR_RD_ET_GM_GF.NRM,19464510,332855b81493e542b9978b73f954c2db1ab2af93e88eb0532b0fb6de26e7ae6c,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/SeizureDetect/m010001_r_labeled_edited_dataset.parquet,4676262,217bb0e0dece047d0dce5f6f68ad1f21a50e8411bd6630f0df8b1dc1903109e4,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/newEpilepsy/model_n1814_5s.sav,4156984,907ca24bd22067be367a1aec988f420c8588bc249146b8fbdd956e2bbd58060b,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/Epilepsy/model/model_best_DSI.pkl,2914164,2f3595630b5664cb8ba37eada2d74bf10c817fc6f5e40beb7b91a478c052f75e,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/Epilepsy/model/model_best_DSI2.pkl,2914164,2f3595630b5664cb8ba37eada2d74bf10c817fc6f5e40beb7b91a478c052f75e,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/newEpilepsy/model_n762_3s.sav,2747161,4bf86729f278fa4224c4fbe5007f51e37c194db4f16fc5a68238c3602af86dd7,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/resource/licence_core.dll,1166848,062232c55e8f97d3c9df713f8f3aa7fd1db4d23d7f2996f9ce088f33f47a5e36,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/qeeg_algorithm-main/EEGnorms/A_AVR_PG_NB_.NRM,708510,44e48281fd12ef52eb00f604b4214e0c188914ab68eb41659549cc1e2831910b,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/qeeg_algorithm-main/EEGnorms/A_AVR_RD_NB_.NRM,708510,7afd37f4277bf986ecc164dffa1061f39a31d6fc2f553cbb9fdb9f1d11793259,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/qeeg_algorithm-main/EEGnorms/A_REC_PG_NB_.NRM,708510,53b8d434aef48d3f2a478e17dbbe7492c886e30d2db989b08e331c3929d30c43,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/qeeg_algorithm-main/EEGnorms/A_REC_RD_NB_.NRM,708510,8e3e864e3011570b753273a00bb19519023068227f71ff65bf6dfdd1a61e7c9a,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/qeeg_algorithm-main/EEGnorms/B_AVR_PG_NB_.NRM,708510,e59b925f9fe2c66ee00dd3bc059757907d86cd7e66af4fce56011ebf6d0553bd,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/qeeg_algorithm-main/EEGnorms/B_AVR_RD_NB_.NRM,708510,dd03204422b18335fb2c6029bb71d6ed23192feaf581eb263a25cf42d2141c7f,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/qeeg_algorithm-main/EEGnorms/B_REC_PG_NB_.NRM,708510,5dc79372d22b697398c95b3bce831b0c0d5dfddf2c55de102edd173315f795df,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/qeeg_algorithm-main/EEGnorms/B_REC_RD_NB_.NRM,708510,496b7c00b95336c3d736d1104fd61d3965a5a7a54b3406b0be7e177c70c849e7,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/qeeg_algorithm-main/EEGnorms/A_AVR_PG_BB_.NRM,661136,88313aed41983845800ca793ea1bffb6e7ee335fddf06841b33062c5d8c30f33,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/qeeg_algorithm-main/EEGnorms/A_AVR_RD_BB_.NRM,661136,05a290d89849a7adc9bb4e78318f1304beaedffb816f25ba471a6513965d0ec3,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/qeeg_algorithm-main/EEGnorms/A_REC_PG_BB_.NRM,661136,88313aed41983845800ca793ea1bffb6e7ee335fddf06841b33062c5d8c30f33,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/qeeg_algorithm-main/EEGnorms/A_REC_RD_BB_.NRM,661136,33adba3bdaa5d67ecd62e79eb841646b1ca064d629f3d3531deb166471011f84,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/qeeg_algorithm-main/EEGnorms/B_AVR_PG_BB_.NRM,661136,67d4ea039bf4f39ba791e9c951ccf581f2c43bfce14fc92293c77080d49318cb,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/qeeg_algorithm-main/EEGnorms/B_AVR_RD_BB_.NRM,661136,68f09dd1706a9051fc2ecb834760ae246bd4b20752b7bed84c6b338b740960cf,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/qeeg_algorithm-main/EEGnorms/B_REC_PG_BB_.NRM,661136,67d4ea039bf4f39ba791e9c951ccf581f2c43bfce14fc92293c77080d49318cb,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/qeeg_algorithm-main/EEGnorms/B_REC_RD_BB_.NRM,661136,c2b41d74479fa2e36d77db943060fa15da7d0aa7e8145d28541c7a1527298142,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/test.ipynb,566655,f24d9d5392cdf902ad578b3cacf6c7df302d35f237057b80386ef99490aea999,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/SeizureDetect/Pkl/model_bandpower.pkl,15318,6aa870126be3a3dc298bbed30c2a9617ac8d59cfd86f098dcc2991d14ee583ae,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/newEpilepsy/scaler_n1814_5s.sav,767,cb4199ee1564d717ec55b0089dbd008a654a40cd810bfa7467ee1e67a4d0ced1,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/newEpilepsy/scaler_n762_3s.sav,767,10aaee616dbe247f1f38a159faf28a24d199bfb259f6a8bc3ecf8c822905c0b2,pc-qlanalyser excluded from modularization; large binary inventoried only
projects/pc-qlanalyser/src/SeizureDetect/example.ipynb,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,pc-qlanalyser excluded from modularization; large binary inventoried only
